Cartório,Qtd. Nascimentos informados por arquivo,Qtd. Casamentos informados por arquivo,Qtd. Óbitos informados por arquivo,Qtd. Nascimentos informados on-line,Qtd. Casamentos informados on-line,Qtd. Óbitos informados on-line,Qtd. Nascimentos informados por outros meios,Qtd. Casamentos informados por outros meios,Qtd. Óbitos informados por outros meios,Qtd. Nascimentos informados pelo SISOBI,Qtd. Casamentos informados pelo SISOBI,Qtd. Óbitos informados pelo SISOBI
7203,0,0,0,0,0,30,0,0,0,0,0,0
7211,12,0,0,0,0,0,0,0,0,0,0,0
7237,54,8,11,33,0,4,0,0,0,0,0,0
7245,4691,1678,965,0,0,1,0,0,0,0,0,0
7252,574,6,475,0,0,0,0,0,0,0,0,0
7294,0,0,0,410,91,101,0,0,0,0,0,0
7302,0,0,0,516,117,154,0,0,0,0,0,0
7310,62,22,22,0,0,0,0,0,0,0,0,0
7328,183,115,535,16,0,70,0,0,0,0,0,0
7336,1318,252,582,0,0,0,0,0,0,0,0,0
7344,0,0,0,30,0,157,0,0,0,0,0,0
8243,0,0,0,205,77,8,0,0,0,0,0,0
8334,608,145,144,3,5,128,0,0,0,0,0,0
8441,7804,557,1562,7,2,0,0,0,0,0,0,0
8458,42,8,29,306,152,282,0,0,0,0,0,0
8516,483,173,188,0,13,1,0,0,0,0,0,0
8524,0,0,0,261,43,153,0,0,0,0,0,0
8532,311,85,178,0,0,0,0,0,0,0,0,0
8540,0,0,0,49,25,35,0,0,0,0,0,0
8557,847,147,289,0,0,0,0,0,0,0,0,0
8565,0,0,0,718,210,329,0,0,0,0,0,0
8573,0,0,0,395,65,292,0,0,0,0,0,0
8581,537,124,260,1,13,8,0,0,0,0,0,0
8599,0,0,0,222,52,118,0,0,0,0,0,0
8607,291,60,65,0,0,0,0,0,0,0,0,0
8615,410,58,127,265,54,71,0,0,0,0,0,0
8649,0,0,0,136,47,24,0,0,0,0,0,0
8656,0,0,0,94,15,31,0,0,0,0,0,0
8664,0,0,0,75,6,7,0,0,0,0,0,0
8672,0,0,0,1,0,24,0,0,0,0,0,0
8698,14,1,4,5,0,0,0,0,0,0,0,0
8706,0,0,0,129,51,43,0,0,0,0,0,0
8714,0,0,0,17,2,6,0,0,0,0,0,0
8730,0,0,0,18,6,17,0,0,0,0,0,0
8763,0,0,0,17,11,3,0,0,0,0,0,0
8789,0,0,0,72,1,18,0,0,0,0,0,0
8797,0,0,0,0,0,21,0,0,0,0,0,0
8805,0,0,0,35,10,87,0,0,0,0,0,0
8821,0,1,0,102,19,8,0,0,0,0,0,0
8839,59,46,38,64,122,37,0,0,0,0,0,0
8847,335,50,111,0,0,0,0,0,0,0,0,0
8854,0,0,0,35,10,0,0,0,0,0,0,0
8862,0,0,0,337,37,117,0,0,0,0,0,0
8870,0,0,0,75,13,16,0,0,0,0,0,0
8888,4,0,2,0,0,2,0,0,0,0,0,0
8896,0,0,0,208,121,79,0,0,0,0,0,0
8938,0,0,0,78,14,24,0,0,0,0,0,0
8946,0,0,0,18,6,11,0,0,0,0,0,0
8995,0,0,0,27,12,17,0,0,0,0,0,0
9001,40,6,13,3,9,40,0,0,0,0,0,0
9019,0,0,0,48,1,8,0,0,0,0,0,0
9027,28,12,11,43,20,33,0,0,0,0,0,0
9043,0,0,0,372,23,168,0,0,0,0,0,0
9050,175,35,50,101,26,64,0,0,0,0,0,0
9068,918,123,301,4,7,7,0,0,0,0,0,0
9076,0,0,0,17,6,8,0,0,0,0,0,0
9084,332,78,211,0,0,0,0,0,0,0,0,0
9092,125,43,54,0,0,116,0,0,0,0,0,0
9100,0,0,0,60,32,23,0,0,0,0,0,0
9118,737,122,342,1,11,1,0,0,0,0,0,0
9126,132,17,71,273,18,136,0,0,0,0,0,0
9134,386,110,170,72,35,50,0,0,0,0,0,0
9142,321,67,175,172,70,118,0,0,0,0,0,0
9159,0,0,0,407,170,155,0,0,0,0,0,0
9167,162,34,84,75,27,49,0,0,0,0,0,0
9175,0,0,0,45,8,64,0,0,0,0,0,0
9183,0,0,0,214,86,99,0,0,0,0,0,0
9191,461,175,158,2,0,0,0,0,0,0,0,0
9209,0,0,0,198,23,60,0,0,0,0,0,0
9217,538,169,143,44,3,2,0,0,0,0,0,0
9225,30,17,15,248,85,71,0,0,0,0,0,0
9233,1638,489,349,0,0,0,0,0,0,0,0,0
9241,363,93,156,69,3,7,0,0,0,0,0,0
9258,194,32,276,0,0,0,0,0,0,0,0,0
9266,0,0,0,190,10,63,0,0,0,0,0,0
9274,36,18,18,170,30,88,0,0,0,0,0,0
9282,1662,581,751,5,4,1,0,0,0,0,0,0
9290,225,43,67,0,0,104,0,0,0,0,0,0
9308,1035,356,422,0,0,9,0,0,0,0,0,0
9316,0,0,0,193,63,79,0,0,0,0,0,0
9324,61,5,33,178,21,31,0,0,0,0,0,0
9332,1619,576,631,0,0,0,0,0,0,0,0,0
