indicx,no_cidade
"107.14","General Maynard"
"111.63","Aquidabã"
"105.57","Junqueiro"
"102.82","Pão de Açúcar"
"94.10","Olho d'Água das Flores"
"101.01","Feira Nova"
"86.05","Pilar"
"133.33","Jundiá"
"144.06","Ibateguara"
"116.21","Amparo de São Francisco"
"91.42","Penedo"
"106.16","Canindé de São Francisco"
"110.56","Traipu"
"118.94","São Sebastião"
"126.65","Mata Grande"
"93.47","Gracho Cardoso"
"97.07","Teotônio Vilela"
"105.24","Santana do Ipanema"
"180.50","Limoeiro de Anadia"
"97.05","Paripueira"
"103.44","Minador do Negrão"
"80.76","Novo Lino"
"113.35","União dos Palmares"
"88.80","Joaquim Gomes"
"120.31","Brejo Grande"
"117.21","Maragogi"
"102.07","Quebrangulo"
"100.70","Japaratinga"
"123.72","Frei Paulo"
"119.51","Pindoba"
"101.59","Flexeiras"
"74.60","Maravilha"
"93.75","São Brás"
"93.81","Coqueiro Seco"
"82.57","Matriz de Camaragibe"
"111.51","Ilha das Flores"
"112.37","Jacuípe"
"104.66","Jequiá da Praia"
"127.47","Santana do Mundaú"
"104.23","Igaci"
"71.01","Jacaré dos Homens"
"103.40","Coruripe"
"96.13","Itabaiana"
"67.49","Passo de Camaragibe"
"98.36","Santa Luzia do Norte"
"154.36","Cristinápolis"
"104.73","Gararu"
"101.61","Piaçabuçu"
"104.86","Palmeira dos Índios"
"84.00","Olho d'Água Grande"
"90.08","Delmiro Gouveia"
"128.31","Paulo Jacinto"
"102.52","Craíbas"
"116.96","Areia Branca"
"86.20","Canhoba"
"89.54","Piranhas"
"69.23","Cumbe"
"95.29","Poço das Trincheiras"
"85.81","Monteirópolis"
"171.42","São Miguel dos Milagres"
"86.96","Girau do Ponciano"
"148.79","Satuba"
"83.87","Porto Real do Colégio"
"90.07","Estrela de Alagoas"
"104.90","Igreja Nova"
"86.31","Taquarana"
"80.00","Palestina"
"122.02","Olho d'Água do Casado"
"101.75","Estância"
"81.44","Maribondo"
"99.75","Aracaju"
"160.11","Ouro Branco"
"105.47","Divina Pastora"
"111.20","São José da Tapera"
"155.01","Viçosa"
"98.60","Capela"
"100.51","Coité do Nóia"
"108.92","Carmópolis"
"121.20","Porto Calvo"
"77.38","Major Isidoro"
"103.25","Arauá"
"96.16","Carira"
"109.08","Marechal Deodoro"
"114.58","Roteiro"
"114.81","Chã Preta"
"109.85","Boquim"
"101.44","Colônia Leopoldina"
"82.03","São Miguel dos Campos"
"120.23","Tanque d'Arca"
"118.20","Inhapi"
"112.59","São Luís do Quitunde"
"101.75","Olivença"
"101.34","Feira Grande"
"60.72","Maceió"
"123.07","Porto de Pedras"
"98.57","Rio Largo"
"125.86","Lagoa da Canoa"
"156.96","Carneiros"
"112.50","Pariconha"
"100.00","Feliz Deserto"
"116.41","Cedro de São João"
